City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
230,Ho Chi Minh City,VN,80.6,few clouds,10.75,106.6667,Windsor Plaza Hotel
242,Qurbus,TN,82.4,few clouds,36.8167,10.5687,اقامةالمياه المعدنية
245,Wichita Falls,US,75.2,broken clouds,33.9137,-98.4934,Quality Inn & Suites Wichita Falls I-44
249,Guerrero Negro,MX,83.73,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
259,Daru,PG,80.62,overcast clouds,-9.0763,143.2092,Daru Lodge
260,Paciran,ID,78.13,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
261,Yenagoa,NG,77.79,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
263,Lubao,PH,78.8,broken clouds,14.9167,120.55,Hacienda Gracia
264,Glenwood Springs,US,84.2,clear sky,39.5505,-107.3248,Glenwood Springs Cedar Lodge
266,Isangel,VU,82.4,broken clouds,-19.55,169.2667,Tanna Lodge
268,Vanimo,PG,81.21,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
273,Cockburn Town,TC,78.8,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
274,Gamba,GA,78.1,overcast clouds,-2.65,10.0,
283,Mabaruma,GY,75.16,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
285,Pizarro,CO,77.16,overcast clouds,4.9533,-77.366,Hotel Limonar
286,Mandapam,IN,84.36,scattered clouds,9.2833,79.1167,Tanvi Chachaa Chalet
289,Sur,OM,83.82,broken clouds,22.5667,59.5289,Sur Plaza Hotel
309,Doka,SD,88.39,broken clouds,13.5167,35.7667,
312,Saint-Joseph,RE,75.2,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
314,Manuk Mangkaw,PH,84.06,overcast clouds,4.8,119.85,
317,Simbahan,PH,83.28,broken clouds,6.3032,120.5836,
320,Acapulco,MX,86.0,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
323,Kismayo,SO,81.45,scattered clouds,-0.3582,42.5454,Agan-Hotel
325,Lethem,GY,79.38,broken clouds,3.3803,-59.7968,Savannah Inn
332,Havelock,US,78.01,broken clouds,34.8791,-76.9013,Sherwood Motel
334,Namibe,AO,75.58,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
337,Tabou,CI,80.96,overcast clouds,4.423,-7.3528,hotêl doufoulougou
339,Acarau,BR,78.1,broken clouds,-2.8856,-40.12,castelo pizzaria
343,Kutum,SD,77.83,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
346,Marawi,PH,77.0,scattered clouds,7.9986,124.2928,Derogongan Residence
351,Brokopondo,SR,75.97,moderate rain,4.75,-55.1667,Matu Island
356,Port Keats,AU,75.06,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
357,Pemangkat,ID,75.78,overcast clouds,1.1667,108.9667,Ramah Kost KITA
358,Kavieng,PG,83.89,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
361,Nuevitas,CU,82.4,broken clouds,21.5453,-77.2644,Hotel Caonaba
362,Bokoro,TD,86.9,clear sky,12.3807,17.0568,
363,Maragogi,BR,77.59,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
365,Burla,IN,76.39,clear sky,21.5,83.8667,Gents Hostel 2(ଭୃଗୁ)
369,Cua,VE,82.4,scattered clouds,10.1589,-66.8858,Agropecuaria Amparo del Altísimo
371,San Cristobal,VE,75.2,light intensity drizzle,7.7669,-72.225,Posada Villaven C.A.
372,Marang,MY,78.8,few clouds,5.2056,103.2059,DBarakah Homestay
373,Misrikh,IN,83.77,clear sky,27.45,80.5167,मौर्या होम
380,Alofi,NU,82.4,broken clouds,-19.0595,-169.9187,Taloa Heights
