City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Atar,20.5169,-13.0499,88.32,11,57,7.76,MR,2021-04-20 20:19:25
68,New Norfolk,-42.7826,147.0587,37.99,85,10,3.31,AU,2021-04-20 20:18:26
69,Hermanus,-34.4187,19.2345,62.01,80,100,5.01,ZA,2021-04-20 20:19:37
70,Albany,42.6001,-73.9662,57.0,50,94,3.0,US,2021-04-20 20:16:51
71,Aklavik,68.2191,-135.0107,23.0,74,90,19.57,CA,2021-04-20 20:19:37
72,Ilulissat,69.2167,-51.1,17.6,73,75,8.05,GL,2021-04-20 20:19:38
73,Puerto Ayora,-0.7393,-90.3518,82.4,74,40,18.41,EC,2021-04-20 20:19:38
74,Kantunilkin,21.0917,-87.45,87.8,66,40,16.11,MX,2021-04-20 20:19:38
75,Kholodnyy,62.7167,147.95,25.48,95,100,3.67,RU,2021-04-20 20:19:39
76,Lorengau,-2.0226,147.2712,81.12,79,100,10.54,PG,2021-04-20 20:19:39
77,Haukipudas,65.1765,25.3523,44.01,45,0,6.91,FI,2021-04-20 20:19:39
78,Cherskiy,68.75,161.3,33.17,69,14,19.22,RU,2021-04-20 20:19:40
79,Bandarbeyla,9.4942,50.8122,82.11,76,100,8.23,SO,2021-04-20 20:19:40
80,Esperance,-33.8667,121.9,55.4,94,90,8.05,AU,2021-04-20 20:19:08
81,Fairbanks,64.8378,-147.7164,42.01,38,1,9.22,US,2021-04-20 20:14:43
82,Luderitz,-26.6481,15.1594,70.81,58,8,7.9,NA,2021-04-20 20:19:41
83,Arraial Do Cabo,-22.9661,-42.0278,77.0,78,0,28.77,BR,2021-04-20 20:19:41
84,Yanam,16.7333,82.2167,81.7,82,96,3.44,IN,2021-04-20 20:19:39
85,Morondava,-20.2833,44.2833,79.03,69,91,10.22,MG,2021-04-20 20:19:41
86,Bredasdorp,-34.5322,20.0403,53.6,87,100,4.27,ZA,2021-04-20 20:18:07
87,Binzhou,37.3667,118.0167,58.8,34,100,8.14,CN,2021-04-20 20:19:42
88,Avarua,-21.2078,-159.775,80.6,69,75,10.36,CK,2021-04-20 20:19:42
89,Aykhal,66.0,111.5,-1.48,98,88,2.28,RU,2021-04-20 20:19:42
90,Keti Bandar,24.1447,67.4497,80.65,69,0,12.39,PK,2021-04-20 20:19:43
91,Ohafia,5.6167,7.8333,79.56,74,26,5.77,NG,2021-04-20 20:19:43
92,Ixtapa,20.7,-105.2,82.4,65,1,16.11,MX,2021-04-20 20:16:07
93,Nha Trang,12.25,109.1833,80.6,83,20,2.3,VN,2021-04-20 20:16:04
94,Kavieng,-2.5744,150.7967,82.35,73,100,4.14,PG,2021-04-20 20:18:45
95,Airai,-8.9266,125.4092,57.0,91,75,0.92,TL,2021-04-20 20:19:44
96,Mahebourg,-20.4081,57.7,77.0,88,75,6.55,MU,2021-04-20 20:19:44
97,Castro,-24.7911,-50.0119,68.13,63,8,4.25,BR,2021-04-20 20:19:44
98,Nanortalik,60.1432,-45.2371,34.75,75,100,8.55,GL,2021-04-20 20:19:45
99,Gogrial,8.5332,28.1004,93.54,26,99,6.33,SS,2021-04-20 20:19:45
100,Partenit,44.578,34.3446,48.99,78,48,6.82,UA,2021-04-20 20:19:45
101,Mehamn,71.0357,27.8492,41.0,65,0,19.57,NO,2021-04-20 20:19:46
102,Vaini,-21.2,-175.2,80.6,78,75,3.44,TO,2021-04-20 20:19:46
103,Kaitangata,-46.2817,169.8464,46.58,84,7,5.03,NZ,2021-04-20 20:19:46
104,College,64.8569,-147.8028,39.99,41,20,13.8,US,2021-04-20 20:19:47
105,Ancud,-41.8697,-73.8203,52.0,94,90,4.61,CL,2021-04-20 20:19:47
106,Chuy,-33.6971,-53.4616,68.9,66,9,11.72,UY,2021-04-20 20:19:47
107,Port Elizabeth,-33.918,25.5701,64.4,88,0,8.05,ZA,2021-04-20 20:19:48
108,Kyabe,9.4515,18.9449,91.53,31,88,1.92,TD,2021-04-20 20:17:18
109,Hervey Bay,-25.2986,152.8535,69.01,73,48,1.01,AU,2021-04-20 20:19:48
110,Marsa Matruh,31.3525,27.2453,60.8,67,75,16.11,EG,2021-04-20 20:19:49
111,Tura,25.5198,90.2201,73.17,72,0,5.44,IN,2021-04-20 20:19:49
112,Athmallik,20.7219,84.5348,83.39,45,3,4.92,IN,2021-04-20 20:19:49
113,Belmonte,-15.8631,-38.8828,78.8,78,75,5.75,BR,2021-04-20 20:19:50
114,Yulara,-25.2406,130.9889,50.0,66,0,5.75,AU,2021-04-20 20:19:50
115,Comodoro Rivadavia,-45.8667,-67.5,57.2,62,0,2.3,AR,2021-04-20 20:19:50
116,Murud,18.3258,72.965,79.9,75,99,6.69,IN,2021-04-20 20:19:51
117,Mundo Nuevo,18.7,-95.5,80.15,68,57,11.41,MX,2021-04-20 20:19:51
118,Koulikoro,14.0,-7.75,90.21,11,3,6.87,ML,2021-04-20 20:19:51
119,Palmer,42.1584,-72.3287,73.4,25,75,16.11,US,2021-04-20 20:19:52
120,Qaqortoq,60.7167,-46.0333,44.6,39,75,5.75,GL,2021-04-20 20:19:52
121,Ambulu,-8.345,113.6058,71.42,84,3,3.74,ID,2021-04-20 20:19:53
122,Marzuq,14.4,46.4667,72.37,54,31,5.46,YE,2021-04-20 20:19:53
123,Boa Vista,2.8197,-60.6733,89.6,40,40,12.66,BR,2021-04-20 20:19:53
124,Touros,-5.1989,-35.4608,82.4,74,20,12.66,BR,2021-04-20 20:18:21
125,Kodiak,57.79,-152.4072,44.6,81,90,6.91,US,2021-04-20 20:19:54
126,Codrington,-38.2667,141.9667,50.41,57,100,5.44,AU,2021-04-20 20:19:55
127,Seka,17.9285,103.9552,78.57,72,8,3.29,TH,2021-04-20 20:19:55
128,Viedma,-40.8135,-62.9967,79.68,41,46,18.21,AR,2021-04-20 20:19:55
129,Bukama,-9.2,25.85,68.95,93,99,0.38,CD,2021-04-20 20:19:56
130,Ukiah,39.1502,-123.2078,66.2,42,1,13.8,US,2021-04-20 20:19:56
131,Margate,51.3813,1.3862,50.0,89,13,6.98,GB,2021-04-20 20:19:57
132,Saint-Pierre,-21.3393,55.4781,75.2,88,90,11.5,RE,2021-04-20 20:19:49
133,Waingapu,-9.6567,120.2641,72.72,73,25,5.86,ID,2021-04-20 20:19:57
134,Nouakchott,18.0858,-15.9785,66.2,82,58,18.41,MR,2021-04-20 20:18:21
135,Port Alfred,-33.5906,26.891,67.14,82,91,20.11,ZA,2021-04-20 20:19:58
136,Qaanaaq,77.484,-69.3632,2.98,74,99,5.79,GL,2021-04-20 20:18:21
137,Portland,45.5234,-122.6762,73.0,17,20,12.66,US,2021-04-20 20:17:49
138,Nhulunbuy,-12.2333,136.7667,77.0,94,92,3.44,AU,2021-04-20 20:19:58
139,Jedburgh,55.48,-2.552,45.0,79,100,4.0,GB,2021-04-20 20:19:59
140,Nome,64.5011,-165.4064,28.4,69,1,4.61,US,2021-04-20 20:19:59
141,Lipari,38.4674,14.954,55.0,79,20,1.43,IT,2021-04-20 20:19:59
142,Russell,32.3502,-85.1999,78.8,31,20,5.75,US,2021-04-20 20:20:00
143,Cape Town,-33.9258,18.4232,62.01,88,0,8.05,ZA,2021-04-20 20:19:33
144,Neiafu,-18.65,-173.9833,80.6,74,20,2.3,TO,2021-04-20 20:20:00
145,Jamestown,42.097,-79.2353,41.0,70,90,6.91,US,2021-04-20 20:20:00
146,Road Town,18.4167,-64.6167,84.2,65,40,13.8,VG,2021-04-20 20:17:32
147,Eenhana,-17.4667,16.3333,69.8,49,73,3.44,NA,2021-04-20 20:20:01
148,Acarau,-2.8856,-40.12,79.86,80,65,9.48,BR,2021-04-20 20:20:01
149,Mondragone,41.1141,13.8935,50.0,93,40,2.15,IT,2021-04-20 20:20:02
150,Santa Isabel Do Rio Negro,-0.4139,-65.0192,81.45,83,60,1.99,BR,2021-04-20 20:20:02
151,East London,-33.0153,27.9116,66.72,83,48,13.6,ZA,2021-04-20 20:20:04
152,Marovoay,-16.1,46.6333,78.8,73,20,5.75,MG,2021-04-20 20:20:04
153,Parrita,9.5201,-84.3225,73.4,73,75,16.11,CR,2021-04-20 20:20:01
154,Narsaq,60.9167,-46.05,44.6,39,75,5.75,GL,2021-04-20 20:20:04
155,Great Falls,47.5002,-111.3008,44.01,41,90,11.5,US,2021-04-20 20:15:31
156,Ardakan,32.31,54.0175,73.4,18,0,6.91,IR,2021-04-20 20:20:05
157,Kalachinsk,55.0529,74.5751,32.11,50,100,18.01,RU,2021-04-20 20:20:05
158,Chicama,-7.8447,-79.1469,69.8,78,29,14.97,PE,2021-04-20 20:20:06
159,Evensk,61.95,159.2333,27.73,84,87,14.0,RU,2021-04-20 20:20:06
160,Kieta,-6.2167,155.6333,79.97,82,48,2.13,PG,2021-04-20 20:20:06
161,Hithadhoo,-0.6,73.0833,82.38,66,89,5.41,MV,2021-04-20 20:20:07
162,Severo-Kurilsk,50.6789,156.125,34.63,95,99,19.26,RU,2021-04-20 20:20:07
163,Yumen,40.2833,97.2,55.36,24,86,8.03,CN,2021-04-20 20:20:07
164,Bambous Virieux,-20.3428,57.7575,77.0,88,75,6.69,MU,2021-04-20 20:20:08
165,Quang Ngai,15.1167,108.8,75.07,93,100,3.36,VN,2021-04-20 20:20:08
166,Riohacha,11.5444,-72.9072,90.01,49,44,15.73,CO,2021-04-20 20:20:08
167,Sangmelima,2.9333,11.9833,72.43,83,89,2.01,CM,2021-04-20 20:20:09
168,Pisco,-13.7,-76.2167,73.4,68,0,26.46,PE,2021-04-20 20:20:09
169,Nago,26.5881,127.9761,69.8,73,1,8.05,JP,2021-04-20 20:20:09
170,Vila Velha,-20.3297,-40.2925,79.0,83,75,3.44,BR,2021-04-20 20:20:10
171,Dingle,10.9995,122.6711,76.75,84,100,6.15,PH,2021-04-20 20:20:10
172,Morehead,37.2711,-87.1764,71.6,28,75,8.05,US,2021-04-20 20:20:10
173,Ballina,-28.8667,153.5667,55.0,100,0,4.61,AU,2021-04-20 20:20:10
174,Banjar,-8.19,114.9675,77.0,83,20,3.44,ID,2021-04-20 20:20:11
175,Suntar,62.1444,117.6319,11.98,89,100,5.79,RU,2021-04-20 20:20:11
176,Gamba,-2.65,10.0,78.31,85,82,2.98,GA,2021-04-20 20:20:11
177,Cockburn Town,21.4612,-71.1419,82.4,69,20,13.8,TC,2021-04-20 20:15:45
178,Mahmudabad,27.3,81.1167,78.8,44,40,3.58,IN,2021-04-20 20:20:12
179,Norman Wells,65.282,-126.8329,33.8,69,75,24.16,CA,2021-04-20 20:19:55
180,Oksfjord,70.2396,22.3479,46.4,53,0,3.44,NO,2021-04-20 20:18:27
181,Dongsheng,39.8161,109.9776,53.94,71,100,17.65,CN,2021-04-20 20:20:12
182,Tilichiki,60.4667,166.1,21.61,93,83,5.17,RU,2021-04-20 20:20:13
183,Jiexiu,37.0244,111.9125,57.76,67,100,4.05,CN,2021-04-20 20:20:13
184,San Cristobal,7.7669,-72.225,89.6,55,40,11.5,VE,2021-04-20 20:20:13
185,Salaverry,-8.2333,-78.9667,69.8,78,65,14.97,PE,2021-04-20 20:20:14
186,Onguday,50.75,86.15,18.28,83,99,2.82,RU,2021-04-20 20:20:14
187,Fonte Boa,-2.4959,-66.2662,80.44,82,100,3.67,BR,2021-04-20 20:20:14
188,Altay,47.8667,88.1167,37.53,95,100,4.32,CN,2021-04-20 20:20:15
189,Queimados,-22.7161,-43.5553,77.0,61,40,17.27,BR,2021-04-20 20:20:15
190,Santa Maria,-29.6842,-53.8069,78.8,50,20,13.8,BR,2021-04-20 20:20:15
191,Leningradskiy,69.3833,178.4167,25.86,69,79,6.15,RU,2021-04-20 20:20:16
192,Rocha,-34.4833,-54.3333,67.42,75,6,12.24,UY,2021-04-20 20:20:16
193,Manono,-7.3,27.4167,69.48,91,72,4.27,CD,2021-04-20 20:20:16
194,Banda Aceh,5.5577,95.3222,80.53,78,96,6.62,ID,2021-04-20 20:20:17
